leecode_num,title,acceptance,difficulty,frequency,freq_rank
336,Palindrome Pairs,34.3%,Hard,2.019194872623806,302
992,Subarrays with K Different Integers,50.2%,Hard,2.0174071150800725,303
729,My Calendar I,52.9%,Medium,2.0170802803084804,304
16,3Sum Closest,46.2%,Medium,2.015760247240972,305
1153,String Transforms Into Another String,36.0%,Hard,2.0152883027662565,306
556,Next Greater Element III,32.0%,Medium,2.0121245108885506,307
540,Single Element in a Sorted Array,57.9%,Medium,2.010396301833835,308
365,Water and Jug Problem,30.9%,Medium,2.0098282377460093,309
938,Range Sum of BST,82.7%,Easy,2.007868826322042,310
1413,Minimum Value to Get Positive Step by Step Sum,65.2%,Easy,2.0014800002101243,311
1004,Max Consecutive Ones III,60.3%,Medium,2.000304221121112,312
862,Shortest Subarray with Sum at Least K,25.1%,Hard,1.9958527460052846,313
503,Next Greater Element II,57.8%,Medium,1.9944390727855115,314
772,Basic Calculator III,42.9%,Hard,1.9939718193092109,315
1328,Break a Palindrome,45.2%,Medium,1.9936634639215551,316
1011,Capacity To Ship Packages Within D Days,59.4%,Medium,1.989148024146512,317
428,Serialize and Deserialize N-ary Tree,60.9%,Hard,1.9770044834857974,318
716,Max Stack,42.9%,Easy,1.9699353286423031,319
55,Jump Game,35.0%,Medium,1.9626625941806801,320
726,Number of Atoms,51.0%,Hard,1.9612975863963347,321
256,Paint House,53.0%,Medium,1.958683552916031,322
718,Maximum Length of Repeated Subarray,50.0%,Medium,1.9568513507251013,323
93,Restore IP Addresses,37.0%,Medium,1.9502230647235148,324
417,Pacific Atlantic Water Flow,42.1%,Medium,1.9462067969364565,325
752,Open the Lock,52.4%,Medium,1.9407332608757797,326
24,Swap Nodes in Pairs,51.9%,Medium,1.9371504047840478,327
233,Number of Digit One,31.6%,Hard,1.9352717508502575,328
494,Target Sum,45.9%,Medium,1.9282956023543312,329
934,Shortest Bridge,49.3%,Medium,1.9209712007080613,330
498,Diagonal Traverse,49.1%,Medium,1.9173207579655533,331
785,Is Graph Bipartite?,48.1%,Medium,1.9109320080449042,332
1047,Remove All Adjacent Duplicates In String,70.1%,Easy,1.907692960711984,333
410,Split Array Largest Sum,45.9%,Hard,1.9061376065054985,334
932,Beautiful Array,61.0%,Medium,1.897790900711115,335
815,Bus Routes,43.1%,Hard,1.8937941479162994,336
371,Sum of Two Integers,50.6%,Medium,1.892695247128554,337
670,Maximum Swap,44.7%,Medium,1.8860418997127268,338
1027,Longest Arithmetic Subsequence,50.1%,Medium,1.8807608601258856,339
82,Remove Duplicates from Sorted List II,37.8%,Medium,1.8787664800060502,340
730,Count Different Palindromic Subsequences,43.2%,Hard,1.8777018990287797,341
137,Single Number II,53.4%,Medium,1.8776274360926717,342
339,Nested List Weight Sum,75.2%,Easy,1.8717289838548983,343
844,Backspace String Compare,46.8%,Easy,1.8671893186396926,344
1411,Number of Ways to Paint N  3 Grid,60.6%,Hard,1.862926163735666,345
703,Kth Largest Element in a Stream,50.4%,Easy,1.8620050008948061,346
61,Rotate List,31.4%,Medium,1.8597011606928555,347
132,Palindrome Partitioning II,30.9%,Hard,1.853602974510758,348
688,Knight Probability in Chessboard,49.7%,Medium,1.8528782842841007,349
160,Intersection of Two Linked Lists,42.3%,Easy,1.847090459980023,350
435,Non-overlapping Intervals,43.7%,Medium,1.8459822205645502,351
166,Fraction to Recurring Decimal,22.1%,Medium,1.8450785374661456,352
324,Wiggle Sort II,30.4%,Medium,1.8279928401526724,353
836,Rectangle Overlap,45.6%,Easy,1.8137732136900446,354
567,Permutation in String,44.5%,Medium,1.808055049053916,355
96,Unique Binary Search Trees,54.0%,Medium,1.8063150723155943,356
264,Ugly Number II,42.6%,Medium,1.8043699768199848,357
108,Convert Sorted Array to Binary Search Tree,59.6%,Easy,1.8035009335977634,358
689,Maximum Sum of 3 Non-Overlapping Subarrays,47.1%,Hard,1.7990048276876824,359
141,Linked List Cycle,42.0%,Easy,1.7970500484239518,360
368,Largest Divisible Subset,38.1%,Medium,1.7953855519596023,361
130,Surrounded Regions,29.0%,Medium,1.792007380576227,362
1060,Missing Element in Sorted Array,54.6%,Medium,1.791759469228055,363
432,All O`one Data Structure,33.0%,Hard,1.7901337169597151,364
496,Next Greater Element I,64.9%,Easy,1.7878638663272246,365
1012,Numbers With Repeated Digits,37.6%,Hard,1.7876049140209078,366
525,Contiguous Array,43.3%,Medium,1.7858387888183274,367
946,Validate Stack Sequences,63.3%,Medium,1.7813825914861818,368
622,Design Circular Queue,44.9%,Medium,1.7808568778898397,369
107,Binary Tree Level Order Traversal II,54.6%,Easy,1.7798478249995544,370
864,Shortest Path to Get All Keys,41.5%,Hard,1.7789003121797649,371
738,Monotone Increasing Digits,45.3%,Medium,1.7774857470156014,372
1505,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,36.1%,Hard,1.7712248667863473,373
185,Department Top Three Salaries,37.5%,Hard,1.7708047656408195,374
753,Cracking the Safe,51.7%,Hard,1.7704548713682757,375
1195,Fizz Buzz Multithreaded,70.1%,Medium,1.7662942881685593,376
1177,Can Make Palindrome from Substring,35.9%,Medium,1.752473871569171,377
282,Expression Add Operators,36.4%,Hard,1.7517055168445514,378
168,Excel Sheet Column Title,31.5%,Easy,1.7490671169000656,379
167,Two Sum II - Input array is sorted,55.2%,Easy,1.7448016427739128,380
516,Longest Palindromic Subsequence,54.7%,Medium,1.7446586984856443,381
907,Sum of Subarray Minimums,33.2%,Medium,1.7423235044104197,382
317,Shortest Distance from All Buildings,42.4%,Hard,1.7421965875991658,383
1057,Campus Bikes,57.6%,Medium,1.7349400384422,384
424,Longest Repeating Character Replacement,47.9%,Medium,1.7324597269467632,385
1188,Design Bounded Blocking Queue,72.3%,Medium,1.7323250942349535,386
727,Minimum Window Subsequence,42.2%,Hard,1.7274886498722992,387
979,Distribute Coins in Binary Tree,69.3%,Medium,1.7274886498722992,388
304,Range Sum Query 2D - Immutable,40.0%,Medium,1.7268697452170447,389
112,Path Sum,42.0%,Easy,1.724885355957396,390
150,Evaluate Reverse Polish Notation,37.4%,Medium,1.7199281059119251,391
131,Palindrome Partitioning,50.9%,Medium,1.71902488716868,392
1010,Pairs of Songs With Total Durations Divisible by 60,49.5%,Medium,1.7177844581169435,393
1240,Tiling a Rectangle with the Fewest Squares,52.2%,Hard,1.7147445182830239,394
463,Island Perimeter,66.4%,Easy,1.7108528306152546,395
219,Contains Duplicate II,38.4%,Easy,1.705965970844688,396
1312,Minimum Insertion Steps to Make a String Palindrome,59.1%,Hard,1.705885389385084,397
174,Dungeon Game,33.0%,Hard,1.7051348646276985,398
205,Isomorphic Strings,40.2%,Easy,1.7049251147207427,399
193,Valid Phone Numbers,25.3%,Easy,1.702486926775288,400
1140,Stone Game II,64.8%,Medium,1.70247908836567,401
384,Shuffle an Array,53.6%,Medium,1.6993196182641324,402
834,Sum of Distances in Tree,45.3%,Hard,1.6982334112172315,403
